Unnamed: 0,prime,target,target.RT,avg_neigh_cos
385,backbone,thin,682.15625,0.31894736842105265
386,background,past,634.6774193548387,0.3210526315789474
387,background,russia,726.3225806451613,0.3210526315789474
388,backward,movement,717.1935483870968,0.36894736842105263
389,backward,silk,787.3793103448276,0.36894736842105263
390,bacteria,foresight,860.0344827586207,0.5768421052631579
391,bacteria,fungus,763.6428571428571,0.5768421052631579
392,badge,boyfriend,735.53125,0.4147368421052631
393,badge,cop,623.6129032258065,0.4147368421052631
394,bagel,sale,534.1724137931035,0.5389473684210526
395,bagel,shop,598.25,0.5389473684210526
396,baggage,frightened,845.6206896551724,0.41157894736842104
397,baggage,luggage,688.9666666666667,0.41157894736842104
398,bait,care,614.5862068965517,0.5110526315789474
399,bait,worm,735.9677419354839,0.5110526315789474
400,baker,cake,692.9333333333333,0.3584210526315789
401,baker,ending,672.5,0.3584210526315789
402,balcony,ledge,634.7586206896551,0.48473684210526313
403,balcony,storage,633.1612903225806,0.48473684210526313
404,ball,bat,665.09375,0.49263157894736836
405,ball,glory,669.6451612903226,0.49263157894736836
406,ballet,dance,570.1666666666666,0.5110526315789474
407,ballet,defeat,851.8709677419355,0.5110526315789474
408,balloon,clown,634.8484848484849,0.3952631578947368
409,balloon,legend,612.516129032258,0.3952631578947368
410,ballot,biology,703.3548387096774,0.4194736842105263
411,ballot,elect,566.9655172413793,0.4194736842105263
412,ban,deodorant,877.9285714285714,0.3968421052631579
413,ban,italian,730.3,0.3968421052631579
414,banana,fruit,701.8387096774194,0.46157894736842103
415,banana,she,656.4193548387096,0.46157894736842103
416,band,argument,700.9375,0.5221052631578947
417,band,play,675.4375,0.5221052631578947
418,bandaid,cut,688.96875,0.3836842105263158
419,bandaid,honest,641.030303030303,0.3836842105263158
420,bandanna,feel,592.4333333333333,0.5421052631578948
421,bandanna,hat,627.4516129032259,0.5421052631578948
422,banjo,guitar,701.55,0.5131578947368421
423,bank,lock,736.0645161290323,0.5
424,bank,vault,913.0357142857144,0.5
425,banker,bank,611.875,0.45526315789473687
426,banker,england,650.8709677419355,0.45526315789473687
427,banquet,eat,692.9032258064516,0.4342105263157895
428,banquet,less,627.8387096774194,0.4342105263157895
429,bar,grill,653.0,0.5036842105263158
430,bar,hunter,627.8125,0.5036842105263158
431,barbecue,personality,738.1935483870968,0.4378947368421053
432,barbecue,ribs,660.0,0.4378947368421053
433,bargain,sale,579.258064516129,0.3863157894736842
434,bargain,yell,770.65625,0.3863157894736842
435,barrel,meat,627.5483870967741,0.3994736842105263
436,barrel,pickles,705.741935483871,0.3994736842105263
437,barrier,ice,597.28125,0.3463157894736842
438,barrier,reef,746.6129032258065,0.3463157894736842
439,bartender,alcohol,690.741935483871,0.5021052631578947
440,bartender,tongue,709.7741935483871,0.5021052631578947
441,base,guitar,666.40625,0.42157894736842105
442,base,hole,689.8387096774194,0.42157894736842105
443,baseball,basketball,768.2666666666667,0.49000000000000005
444,baseball,hint,811.8709677419355,0.49000000000000005
445,basement,attic,641.34375,0.5089473684210526
446,basement,tile,779.40625,0.5089473684210526
447,bashful,marker,751.2,0.47684210526315784
448,bashful,shy,587.6774193548387,0.47684210526315784
449,basket,driver,656.5,0.3863157894736842
450,basket,weave,614.6774193548387,0.3863157894736842
451,bat,gander,1004.0,0.4731578947368421
452,bat,night,665.0625,0.4731578947368421
453,bath,flag,691.8387096774194,0.4963157894736842
454,bath,towel,596.0,0.4963157894736842
455,bathroom,bedroom,709.5625,0.5868421052631579
456,bathroom,thread,661.6774193548387,0.5868421052631579
457,bathtub,monthly,692.2413793103449,0.4773684210526316
458,bathtub,shower,692.8,0.4773684210526316
459,bay,graduation,752.78125,0.3847368421052632
460,bay,water,693.9677419354839,0.3847368421052632
461,be,am,745.1379310344828,0.6178947368421053
462,be,ten,697.2,0.6178947368421053
463,bead,necklace,640.5,0.4147368421052632
464,beam,say,644.4516129032259,0.4531578947368421
465,beam,smile,556.71875,0.4531578947368421
466,bean,green,587.9375,0.42526315789473684
467,bean,layer,728.9583333333334,0.42526315789473684
470,beard,arrow,636.9354838709677,0.5378947368421053
471,beard,mustache,669.0,0.5378947368421053
472,beast,animal,699.53125,0.48368421052631577
473,beast,cactus,777.9629629629629,0.48368421052631577
474,beat,jacket,653.8125,0.5236842105263158
475,beat,pound,690.7096774193549,0.5236842105263158
476,beautiful,pretty,591.7272727272727,0.5926315789473684
477,beautiful,still,618.0909090909091,0.5926315789473684
478,beauty,beast,656.4137931034483,0.45789473684210524
479,beauty,me,622.8709677419355,0.45789473684210524
480,beaver,dam,889.2307692307693,0.3952631578947368
481,beaver,rain,573.71875,0.3952631578947368
482,because,sugar,620.4516129032259,0.7057894736842105
483,because,why,627.46875,0.7057894736842105
484,become,am,722.375,0.47
485,become,search,679.0,0.47
486,bedroom,airplane,663.8125,0.5252631578947369
487,bedroom,bathroom,619.625,0.5252631578947369
488,bee,castle,741.6774193548387,0.45789473684210524
489,bee,sting,701.8064516129032,0.45789473684210524
490,beef,bug,692.9677419354839,0.5568421052631579
491,beef,cow,683.5806451612904,0.5568421052631579
492,beetle,juice,563.1935483870968,0.43736842105263163
493,beetle,pie,624.1379310344828,0.43736842105263163
